Day,Visits,,,,,,,
2008-05-25,182,,,,,,,
2008-05-26,195,,,,,,,
2008-05-27,304,,,,,,,
2008-05-28,282,,,,,,,
2008-05-29,263,,,,,,,
2008-05-30,218,,,,,,,
2008-05-31,188,,,,,,,
2008-06-01,195,,,,,,,
2008-06-02,244,,,,,,,
2008-06-03,241,,,,,,,
2008-06-04,252,,,,,,,
2008-06-05,241,,,,,,,
2008-06-06,209,,,,,,,
2008-06-07,198,,,,,,,
2008-06-08,195,,,,,,,
2008-06-09,247,,,,,,,
2008-06-10,231,,,,,,,
2008-06-11,224,,,,,,,
2008-06-12,198,,,,,,,
2008-06-13,180,,,,,,,
2008-06-14,166,,,,,,,
2008-06-15,179,,,,,,,
2008-06-16,218,,,,,,,
2008-06-17,227,,,,,,,
2008-06-18,228,,,,,,,
2008-06-19,228,,,,,,,
2008-06-20,204,,,,,,,
2008-06-21,168,,,,,,,
2008-06-22,178,,,,,,,
2008-06-23,167,,,,,,,
2008-06-24,192,,,,,,,
2008-06-25,199,,,,,,,
2008-06-26,219,,,,,,,
2008-06-27,206,,,,,,,
2008-06-28,178,,,,,,,
2008-06-29,184,,,,,,,
2008-06-30,193,,,,,,,
2008-07-01,204,,,,,,,
2008-07-02,90,,,,,,,
2008-07-03,94,,,,,,,
2008-07-04,60,,,,,,,
2008-07-05,67,,,,,,,
2008-07-06,91,,,,,,,
2008-07-07,140,,,,,,,
2008-07-08,129,,,,,,,
2008-07-09,142,,,,,,,
2008-07-10,129,,,,,,,
2008-07-11,110,,,,,,,
2008-07-12,56,,,,,,,
2008-07-13,68,,,,,,,
2008-07-14,127,,,,,,,
2008-07-15,116,,,,,,,
2008-07-16,127,,,,,,,
2008-07-17,114,,,,,,,
2008-07-18,125,,,,,,,
2008-07-19,67,,,,,,,
2008-07-20,91,,,,,,,
2008-07-21,139,,,,,,,
2008-07-22,232,,,,,,,
2008-07-23,165,,,,,,,
2008-07-24,185,,,,,,,
2008-07-25,148,,,,,,,
2008-07-26,84,,,,,,,
2008-07-27,74,,,,,,,
2008-07-28,163,,,,,,,
2008-07-29,159,,,,,,,
2008-07-30,178,,,,,,,
2008-07-31,126,,,,,,,
2008-08-01,111,,,,,,,
2008-08-02,95,,,,,,,
2008-08-03,85,,,,,,,
2008-08-04,150,,,,,,,
2008-08-05,149,,,,,,,
2008-08-06,139,,,,,,,
2008-08-07,111,,,,,,,
2008-08-08,124,,,,,,,
2008-08-09,91,,,,,,,
2008-08-10,77,,,,,,,
2008-08-11,122,,,,,,,
2008-08-12,115,,,,,,,
2008-08-13,125,,,,,,,
2008-08-14,110,,,,,,,
2008-08-15,112,,,,,,,
2008-08-16,76,,,,,,,
2008-08-17,74,,,,,,,
2008-08-18,107,,,,,,,
2008-08-19,134,,,,,,,
2008-08-20,115,,,,,,,
2008-08-21,122,,,,,,,
2008-08-22,108,,,,,,,
2008-08-23,74,,,,,,,
2008-08-24,73,,,,,,,
2008-08-25,111,,,,,,,
2008-08-26,103,,,,,,,
2008-08-27,98,,,,,,,
2008-08-28,97,,,,,,,
2008-08-29,77,,,,,,,
2008-08-30,67,,,,,,,
2008-08-31,64,,,,,,,
2008-09-01,59,,,,,,,
2008-09-02,91,,,,,,,
2008-09-03,108,,,,,,,
2008-09-04,107,,,,,,,
2008-09-05,83,,,,,,,
2008-09-06,65,,,,,,,
2008-09-07,59,,,,,,,
2008-09-08,85,,,,,,,
2008-09-09,91,,,,,,,
2008-09-10,102,,,,,,,
2008-09-11,95,,,,,,,
2008-09-12,81,,,,,,,
2008-09-13,49,,,,,,,
2008-09-14,57,,,,,,,
2008-09-15,95,,,,,,,
2008-09-16,98,,,,,,,
2008-09-17,105,,,,,,,
2008-09-18,81,,,,,,,
2008-09-19,77,,,,,,,
2008-09-20,50,,,,,,,
2008-09-21,52,,,,,,,
2008-09-22,84,,,,,,,
2008-09-23,137,,,,,,,
2008-09-24,122,,,,,,,
2008-09-25,103,,,,,,,
2008-09-26,98,,,,,,,
2008-09-27,56,,,,,,,
2008-09-28,59,,,,,,,
2008-09-29,94,,,,,,,
2008-09-30,111,,,,,,,
2008-10-01,98,,,,,,,
2008-10-02,105,,,,,,,
2008-10-03,86,,,,,,,
2008-10-04,58,,,,,,,
2008-10-05,51,,,,,,,
2008-10-06,91,,,,,,,
2008-10-07,87,,,,,,,
2008-10-08,84,,,,,,,
2008-10-09,99,,,,,,,
2008-10-10,96,,,,,,,
2008-10-11,53,,,,,,,
2008-10-12,51,,,,,,,
2008-10-13,88,,,,,,,
2008-10-14,81,,,,,,,
2008-10-15,101,,,,,,,
2008-10-16,88,,,,,,,
2008-10-17,103,,,,,,,
2008-10-18,46,,,,,,,
2008-10-19,59,,,,,,,
2008-10-20,86,,,,,,,
2008-10-21,92,,,,,,,
2008-10-22,101,,,,,,,
2008-10-23,94,,,,,,,
2008-10-24,85,,,,,,,
2008-10-25,53,,,,,,,
2008-10-26,47,,,,,,,
2008-10-27,91,,,,,,,
2008-10-28,99,,,,,,,
2008-10-29,95,,,,,,,
2008-10-30,89,,,,,,,
2008-10-31,83,,,,,,,
2008-11-01,47,,,,,,,
2008-11-02,39,,,,,,,
2008-11-03,84,,,,,,,
2008-11-04,90,,,,,,,
2008-11-05,94,,,,,,,
2008-11-06,93,,,,,,,
2008-11-07,86,,,,,,,
2008-11-08,51,,,,,,,
2008-11-09,48,,,,,,,
2008-11-10,84,,,,,,,
2008-11-11,91,,,,,,,
2008-11-12,103,,,,,,,
2008-11-13,96,,,,,,,
2008-11-14,74,,,,,,,
2008-11-15,47,,,,,,,
2008-11-16,52,,,,,,,
2008-11-17,94,,,,,,,
