Week,Lbs. Sold
2005-01-02,"23,662"
2005-01-09,"12,699"
2005-01-16,"23,095"
2005-01-23,"27,944"
2005-01-30,"20,516"
2005-02-06,"25,546"
2005-02-13,"20,023"
2005-02-20,"35,247"
2005-02-27,"23,615"
2005-03-06,"16,655"
2005-03-13,"14,748"
2005-03-20,"18,159"
2005-03-27,"22,149"
2005-04-03,"14,492"
2005-04-10,"19,012"
2005-04-17,"14,678"
2005-04-24,"30,844"
2005-05-01,"17,701"
2005-05-08,"15,220"
2005-05-15,"15,504"
2005-05-22,"23,957"
2005-05-29,"16,153"
2005-06-05,"15,901"
2005-06-12,"26,637"
2005-06-19,"16,538"
2005-06-26,"26,581"
2005-07-03,"4,536"
2005-07-10,"26,737"
2005-07-17,"18,003"
2005-07-24,"30,773"
2005-07-31,"12,409"
2005-08-07,"11,804"
2005-08-14,"23,045"
2005-08-21,"28,865"
2005-08-28,"21,608"
2005-09-04,"17,369"
2005-09-11,"20,737"
2005-09-18,"22,595"
2005-09-25,"20,309"
2005-10-02,"22,996"
2005-10-09,"12,779"
2005-10-16,"20,803"
2005-10-23,"20,969"
2005-10-30,"21,603"
2005-11-06,"11,307"
2005-11-13,"20,819"
2005-11-20,"8,741"
2005-11-27,"18,382"
2005-12-04,"16,858"
2005-12-11,"26,865"
2005-12-18,"16,668"
2005-12-25,"18,211"
2006-01-01,"12,383"
2006-01-08,"15,179"
2006-01-15,"25,430"
2006-01-22,"18,630"
2006-01-29,"14,435"
2006-02-05,"20,673"
2006-02-12,"16,746"
2006-02-19,"22,465"
2006-02-26,"25,554"
2006-03-05,"19,803"
2006-03-12,"20,948"
2006-03-19,"16,733"
2006-03-26,"33,023"
2006-04-02,"18,688"
2006-04-09,"15,146"
2006-04-16,"18,491"
2006-04-23,"36,856"
2006-04-30,"14,443"
2006-05-07,"24,897"
2006-05-14,"10,841"
2006-05-21,"35,834"
2006-05-28,"28,048"
2006-06-04,"15,389"
2006-06-11,"11,785"
2006-06-18,"22,207"
2006-06-25,"22,022"
2006-07-02,"14,172"
2006-07-09,"19,088"
2006-07-16,"22,882"
2006-07-23,"23,800"
2006-07-30,"23,144"
2006-08-06,"29,106"
2006-08-13,"15,125"
2006-08-20,"13,208"
2006-08-27,"27,332"
2006-09-03,"15,273"
2006-09-10,"11,398"
2006-09-17,"17,026"
2006-09-24,"32,999"
2006-10-01,"19,499"
2006-10-08,"13,902"
2006-10-15,"10,420"
2006-10-22,"27,658"
2006-10-29,"16,320"
2006-11-05,"20,178"
2006-11-12,"13,139"
2006-11-19,"8,821"
2006-11-26,"16,599"
2006-12-03,"19,955"
2006-12-10,"14,567"
2006-12-17,"9,557"
2006-12-24,"26,341"
2006-12-31,"15,284"
2007-01-07,"12,683"
2007-01-14,"10,036"
2007-01-21,"15,723"
2007-01-28,"25,288"
2007-02-04,"8,085"
2007-02-11,"16,282"
2007-02-18,"23,178"
2007-02-25,"24,919"
2007-03-04,"15,258"
2007-03-11,"8,492"
2007-03-18,"12,426"
2007-03-25,"32,266"
2007-04-01,"21,981"
2007-04-08,"12,558"
2007-04-15,"9,299"
2007-04-22,"25,516"
2007-04-29,"15,326"
2007-05-06,"13,354"
2007-05-13,"21,417"
2007-05-20,"25,529"
2007-05-27,"19,585"
2007-06-03,"28,865"
2007-06-10,"14,905"
2007-06-17,"16,386"
2007-06-24,"20,385"
2007-07-01,"4,173"
2007-07-08,"20,030"
2007-07-15,"11,964"
2007-07-22,"22,061"
2007-07-29,"16,925"
2007-08-05,"8,736"
2007-08-12,"16,107"
2007-08-19,"12,353"
2007-08-26,"28,451"
2007-09-02,"11,135"
2007-09-09,"28,543"
2007-09-16,"10,668"
2007-09-23,"28,752"
2007-09-30,"13,886"
2007-10-07,"7,828"
2007-10-14,"13,435"
2007-10-21,"19,429"
2007-10-28,"23,102"
2007-11-04,"16,170"
2007-11-11,"14,836"
2007-11-18,"13,680"
2007-11-25,"40,447"
